title,rating,body
Nice phone,4,  Phone is very good under the price range.
Worst Redmi Product( Readmi 9A ),2,"  Camera Quality Worst, Performance worst.."
value for money,5,  in this price phone is good configuration
Redmi 9a,5,  Nice design and average performance worth at this price
Very bad experience,1,  Battery life is very poorCamera is also por
Check and buy,3,  There is no back cover with and no bill copy.....
H,5,"  Your browser does not support HTML5 video.


   Good"
Super,3,  Amazon super fast delivery nice discount 👍👍👍👍
बजट फोन,5,  कम बजट में सबसे अच्छा मोबाइल बैटरी लाइफ बढ़िया है
Good,5,"  Your browser does not support HTML5 video.


   Good"
Good,5,  Well it's good in this price point. Overall good.
battery backup,5,  it is worth  performance n battery backup is good
nothing,4,  camera quality not so gd ..but btry backup is grt
Charger issues,3,  Charging time heat observing in charger more heat
Nice phone,4,  You can buy this . valuable price
Very Good product,5,  Worth buying... Very good product
Not good,1,  Phone performance not good enough
Nice,3,  No fingers
Just ok,5,  Ok product
Nice product..,1,  Good one..
No sound clearity,1,  No proper sound clearity.
Over all its good,5,  It's good phone I love it
Good product .first time using redmi mobile .mobile is excellent,4,  Excellent value for money
Amazing features with miui 12,4,  Better and graceful lookAmazing battery life
"SUSANTA""S review 🥳🥳🥳🥳🥳🥳🥳",5,  This product is great with affordable price 😍.
Nice budget phone,4,  Nice budget phone
Worth fr your money......tnx 2 amazone,5,  Everything superb
Best battery life phone,5,  Best camera phone
Very good product,5,  Very good product
Good,5,  Good Battery Life
Am Not satisfied,1,"  Quality not good ,camera zoom photo quality not batter"
Smsrt,5,  Super. My phone
Nice,5,  Very nice products
Ok,5,  Ok
Ok,4,  Ok
Good,4,  Ok
Ok,5,  Ok
Happy with the product,4,  Quality of the product this item is good
Not worthy,1,  Hanging problem and touh problem is high
Camera,3,  Phone is good... but camera is too bad👎
Good battery,5,  Battery is so good and good  working day
Nice,4,  Good product at low budget go for it👍👍
Good.price,3,  Very good👍Something heavy weight.
Colour is not actual,3,"  Colour is not actual that is displayed,very low quality colour"
Suer,5,  Nice super battery life fine camera quality fine
Sound quality is very bad very disappointed,2,  Sound n ringtone of the Mobile is very low n bad
Overall performance average,4,  Performance is good but it charging time so long
Quality,4,  Its very good product and delivery is also good.
मोबाइल हैंग हो रहा है और थोड़ी देर में ही गर्म हो जाता है,3,  मोबाइल हैंग हो रहा है और गरम भी ज्यादा हो रहा है
Thanks Amazon,5,  Good product. Amazing delivery of Amazon. Thanks
Finger reader not available,1,  Finger print readers not available in this phone
Good,5,  Less money multiple functions...
Good,5,  Very good but camera is not good
Value of money,4,  It's price customer satisfaction
great product,5,  great product with cheaper price
Good,4,  Good to use and low budget phone
Very nyc,3,  Nyc
Great delivery service. Delivery boy is very good and gentle,5,  Excellent
Not good,1,  Not happy
Best performance,5,  Like this
Good,5,  Very good
Good product in this price range.,5,  Lovely 💐
Very good,5,  Very good
Thank you,5,  Thank you
Good product,5,  It's good
Value for  money,4,  Okay good
Very good,5,  Very good
Very nice product,4,  Very nice
CHANNAPPA,5,  CHANNAPPA
Value for money,5,  Best phone for The price
Good Mobile in lower range,4,  Good  value for purchase
Good Mobile,5,  Goog Mobile in low price
Good device,5,  Better choice if you looking for 2/32 facilities at lower price
Okay,2,  Quality of video
Avarage.,4,  Overall avarage.
Best,4,  Good price point
I don't explain,3,  I don't  explain
Value for money.,4,  Nice Smartphone.
Worth for money,4,  Good
Good,4,  All is ok.add 2 speaker would better.
Torch light is not working,3,  Torch light is not working after 7 days
Battery swelling,1,  Battery swelling within 3 months of use
Good,4,  Absolutely Wright at this Price# lovely
Good performance,5,  Very good performance in such low cost.
Good,5,  Good
This product very badly working. Plz replacement this,1,  Camera quality is good but very slowly working.
Battery life is not good,3,  Battery life is not good. Cam quality is better
It is good app,4,  Nice product thankyou AmazonFast delivery
Receive made in China mobile,1,  Battery life is goodNo fingerprint Reader
That's my problem,1,  Wifi connection problemDon't connect wifi
Good,5,  Good product .Value for money.Recommended. 😊😊
Good,5,  Fabulous performance Redmi 9A ...I love it ..😍
Good at this price,5,  Budgeted phone. Food quality according to price
Best phone and seller,5,  Best products and seller also i love amazon❤️❤️
Not received warranty card as mentioned at box,1,  Not received warranty card as mentioned at box.
Worth its prize.,4,  An overall good product according to its prize.
Worth the buying item in budget,5,  Best phone with all features in a budget range.
Nice.,4,  Awesome phone ever😍😍
Okkk,4,  Something ok or something wrong
Best in this price,5,  Overall very good in this price
Display problem,3,  A white spot at display bottom.
Good product but it is heavy to carry,4,  Good product value for money 💰
Redmi,5,  Good one
Good,4,"  Large display screen, value for money.."
Good enough!,4,  Nice phone in low price
Nice,4,  Good phone good battery
A budget phone,2,  It is a average product
Good for its style,4,  Nice one for that price
Superb,5,  Soo good
Good,4,  This looks very nice and camera price tipe very good
Value for money,4,  Value for money
Good,4,  value for money
Nice,3,  Value for money
Very nice location,5,  Best smartphone
Budget phone,3,  Commanding is slow...but overall ok..if compare to others..
Slow!!!!,1,  Its pretty slow
Pessa barbaad,5,  Bekar dam bekar
Best smartphone Redmi 9a,5,  Bettary is good
Value,4,  Worth for money
Phoninte upayogicha prathifalam,3,  Kozhapola just use cheyyan ekka pattum
Good,4,  Bluetooth is very hanging and all good
Low price & 1 day battery,5,  Big battery 5000camera very good
Don't buy,1,  Not good product... Totally worst...
Battery life,1,  Waste of money the phone battery life is worst
Phone is awesome at this price,5,  Awesome phone at this price. Fully satisfied😊
Late delivery,4,  Product is goodBut delivered 3days later
Worst product,1,  Amazon service is very worst..  Waste of money
Worest phone,1,"  Worest phone,don't buy waste of money and time"
Good,5,  Good delivery and good phone which I have got.
Display not working and always phone power off,1,  Display not working and always phone power off
Good,1,  This mobail  is difectiveBattery promble
Cheap and Best,4,  I have not received back cover with this phone
Bestphone for simple user,5,  Best smartphone under 6500.Overall good.
Value for money,5,  No other product is better in this price range
Nice 👍,5,"  Good service, beautiful mobile"
Okk,4,  Ok but little hanging problems
Value for money.,4,  Product is good in this price.
Good,4,  Worth product in this price ..
Nice to use,5,  Nice mobile... Smooth screen..
Ossom,5,  Wonderful
Love you amezon,5,  Very nice products and amezon is very best aap
Same range other brand good,4,  Not buy
Value for money,4,  Average
v good,5,  g goood
Very fast delivery,5,  Awesome
Phone,5,  Not bad
Good product this price,4,  Not bad
Awesome,5,  Awesome
Very nice budget phone,4,  Very nice budget phone
Ok,3,  All over good at price
The Phone mike is not working properly,1,  The product is very bad and Main mike is not working
Now,4,  Box is damaj mobile working fin
Overall good product.,4,  Battery life is good but camera not so good.
Accessoriesless.handset less,5,  Product with accessories handsetless
Nice,5,  Value of money
Value for money.,4,  Heavy weight
Good,5,"  Battery life good,, camera quality ok"
Nice product,5,  Very good product and value for money
Working body,4,"  Fulfillment of requirements, not more"
Small amount Nice phone,4,  Big screen but camera quality is poor
Nice phone,5,"  Nice phone ,quite handy and nice look"
Smater phone,5,  Very good product thanks amazone.....
Value for money,4,  I gifted to my aunty and she loves it
Good price good offers,4,  I am lazy not adding picture but good product
no to help,2,  this mobile products his problems in software
Yes,3,  We did not receive headphones with the mobile
Superb budget mobile,5,  Nice 👍 battery life and not bad camera qulty
It's good,4,  Overall it's a good phone at economic price..
After purchasing 10 days phones automatically restarting continuously,1,  After purchasing 10 days phones automatically
Best  quality with best price,5,  Good mobile with good quality with best price
Best phone ever,5,  No anyone in comparison of this price segment
Issue very big issue,1,  It hangsWorks slowAb kya hee bole
Ok I am satisfied,1,  Good product but price is low if better phone
Everything is fine except the camera quality.,3,  Everything is fine except the camera quality.
Worst phone from mi,1,  Hangs too much
Good as considered price,3,  Good product for normal usage
Good,5,  Overall good for normal users
Nice product.,5,  Great features. Good quality.
Camera not good as Brand,1,"  Camera not good,heavy weight."
not bad,2,  front camera is bad quality..
Best product battery life superb,5,  Nice awesomeness fully energy
Good phone,5,  Nice phone ... value of phone
Slowest process,1,  Worst process phone.never buy
Look style,4,  Better performance of battery
Hang up issue,3,  Mobile is hanging upScreen stop sensing
Great choice.,5,  Superb
Nice mobile nice camera nice screen anni super unnai,5,  Nice mobile under 10k
Not satisfied,2,  Camera is very bad 👎
Totally worst phone,1,  Phone is not power on
Cheap product,2,  I found it is lagging
AWESOME with low cost,5,  Awesome with low cost
Product is very good,5,  Product is very good.
Okay,4,  It's okay I would say
Asid,3,  Good phone but not good for camera and ram
Super,5,  Super
